id,reg_eudra_nr,start_date,first_reg_date,reg_eudra_prospective
NCT01600014,2011-005018-13,2012-05-01,2012-04-03,1
NCT01443260,2010-022680-35,2012-02-01,NA,NA
NCT01326767,2010-023688-16,2011-03-01,2011-01-12,1
NCT01092533,2009-009998-10,2010-03-01,2009-12-02,1
NCT01879241,2011-004482-32,2013-06-01,2012-12-21,1
NCT01407965,2010-024094-39,2012-04-01,2011-06-10,1
NCT01392079,2007-003099-20,2008-02-01,2007-08-23,1
NCT02820519,2014-005440-17,2016-06-01,2015-03-11,1
NCT01727778,2012-001893-27,2012-10-01,NA,NA
DRKS00004844,2011-003471-11,2012-02-09,NA,NA
DRKS00005941,2011-003471-11,2013-10-14,NA,NA
DRKS00000304,2009-010966-47,2010-04-08,2009-10-14,1
DRKS00003246,2011-004463-69,2013-10-23,2012-08-03,1
DRKS00004871,2011-004393-28,2013-05-02,2011-12-09,1
DRKS00009914,2012-001582-33,2012-12-01,2012-07-03,1
DRKS00009915,2012-001583-29,2013-01-01,2012-07-12,1
DRKS00000582,2008-007645-31,2010-10-09,2009-03-16,1
DRKS00005028,2012-004189-16,2013-06-25,NA,NA
DRKS00006102,2014-001148-40,2014-06-11,2014-04-23,1
DRKS00009739,2015-005071-25,2016-01-26,2015-11-27,1
DRKS00003407,2011-000624-16,2011-12-22,2011-09-05,1
DRKS00006087,2013-002332-24,2014-07-15,NA,NA
DRKS00006863,2013-001081-42,2014-11-19,2014-07-29,1
DRKS00003252,2011-005603-32,2013-06-18,2012-05-30,1
DRKS00011528,2016-003120-23,2017-01-12,NA,NA
DRKS00011837,2016-004137-24,2017-03-31,NA,NA
DRKS00003514,2010-022660-12,2012-04-30,2010-11-22,1
DRKS00000780,2008-008896-32,2012-05-21,2009-07-21,1
DRKS00004776,2012-004383-22,2013-10-28,2013-01-15,1
DRKS00005819,2012-003473-26,2014-04-11,NA,NA
DRKS00006359,2013-004414-18,2015-03-17,NA,NA
DRKS00004652,2012-000108-13,2012-12-28,2012-11-09,1
DRKS00003136,2010-021790-37,2011-11-07,2011-08-10,1
